evt_block_time,evt_tx_hash,contract_address,collection_address,borrower,lender,loanAmountArrange,interestRate,auctionDuration,tokenId
2023-05-07 12:13:35.000 UTC,0x2458e7d74a4127e839ee1068e6ee84d68782f8a0c82ae8f1c9f743ecd590fb41,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x0603df18ad272be9e042803bca337a0412ff0ede,0xce841f783dc6d9df256af36b1cf6b3a52aa57cdc,7.51,0,9000,4674
2023-05-07 13:09:59.000 UTC,0xedff358876f7c24327670c3395d00cdbf99c46028f0a7d24769944bd3dd686f9,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x08b1c0fbdb3c4e22a6448b3ce3fa825b61c81094,0xd25821e8b44cae1d6060172ea6891d2ce9fad669,13.11,0.002,9000,8802
2023-05-07 13:29:35.000 UTC,0x868abc0d6da87432ea8e10d3b4889009801e40558b8d4c69bd7003f8fb3843e7,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x5f1ee29361206f1a129e808736f11598356c6031,0x20251a0505ead51fb2c6ce5c1f399924ea068322,12.7,0,9000,8435
2023-05-07 13:32:59.000 UTC,0x77c3799e20ba6dfb681f16da9f9ab5c5152dc23347902d4b9c8e6f6e7f0d1e8e,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0xe91bb7500df588a333acd7a9c57488fccb40ef4c,12.97,0,9000,1930
2023-05-07 13:35:35.000 UTC,0x7d36dad52630a09325e6f1d2f68d83565c3318a92c3be1902d48f9e82f463e46,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0xd16a3cfd650e8bc1ddcd579c47478ae22fe81efe,0x9bd03673f9f3db5037cd839e96675b047eed143f,13.93951857,1,9000,4355
2023-05-07 13:36:35.000 UTC,0x00dddd93c20932239332d3d4dfce063d31ab7aa40ff43a44815cad3ae3934852,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x127ecf853f7c0d59e415a28354e482fd41604b4f,0xe76e4689de4bd8ee34ab3b6d1cf8cb0a80d4e048,12.99,0,9000,7135
2023-05-07 13:37:23.000 UTC,0xf67d3d09780c4f89326645c0d10f99ada782e61809b002bfec9b48cd21fdd202,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,12.96,0,9000,3920
2023-05-07 13:37:23.000 UTC,0x7006d600487ddfc253ea8e811bdff8f6992c1b4b569902022d6554e84bd4d21f,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,12.96,0,9000,1209
2023-05-07 13:40:35.000 UTC,0x0c009009457fcc666abbc53036e39107c2eca6ffac7cd794dea8d9d677e7b15b,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0xbf52b8cc1935b8f8eda4601b74816792e54b915c,0x6995edcc99e91d3c9fd944234263985bb9235576,13.71021601,0.25,9000,6205
2023-05-07 13:44:59.000 UTC,0xcd8ae2342c1a4bbf581f4068cd71478ac7d92e1ca7525accced4b8826283bcdf,0x29469395eaf6f95920e59f858042f0e28d98a20b,Azuki,0x97c7d94d01bcbc41b80ef7cc8c5bebc3d11c6a20,0xd25821e8b44cae1d6060172ea6891d2ce9fad669,13.25,0.002,9000,9261
