contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,collection,lienId
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xb36874220e1634d1f625e3911d34711ef11ef38c62117bdeb6e3ba8882a2212c,347,2023-05-04 20:29:23.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,459
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xb36874220e1634d1f625e3911d34711ef11ef38c62117bdeb6e3ba8882a2212c,344,2023-05-04 20:29:23.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,450
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xb36874220e1634d1f625e3911d34711ef11ef38c62117bdeb6e3ba8882a2212c,341,2023-05-04 20:29:23.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,378
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xb36874220e1634d1f625e3911d34711ef11ef38c62117bdeb6e3ba8882a2212c,338,2023-05-04 20:29:23.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,955
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x74602d51c9aa2f3c681e8be375633ca6ced60e6688d5159d1e6f737253174b99,90,2023-05-04 21:22:23.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,809
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xd2f5d388d5aac36dac444a4ee46841802f6e0e96afc9f7121c292642dcd8867c,352,2023-05-04 21:47:35.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,729
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x248662e9942c71865484750e31c13ce3d27d0bed67dedd54b3b490d6fd914c6a,306,2023-05-04 21:55:23.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,684
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xd68449c696eeec3066236d1325ae92df41a4842521c3814f20646e9e5ff0a6bf,254,2023-05-05 01:39:59.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,854
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x267a2b0f440c502e7b81bb0868261ca691a1bd449fa1c63939aa5660e12809c4,234,2023-05-05 03:33:59.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,890
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x4b1183710714ae032eb9da1df29de77d642e546640c78ae9765afa6426c11c61,359,2023-05-05 04:34:47.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,855
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x0253ec3452eb1e0bd493248d8493e5869da67fdcfeaab03246fffbd35f6d15c4,429,2023-05-05 05:14:11.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,901
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xf9cbcbadc6ce329e7f29684a40fcaf2d57115f935bfa7e8ffeceb3752525ae65,539,2023-05-05 06:08:35.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,766
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x99a255c37915c42d90d60cf0bf88b6bdf40259a3280da1300818ac80b9c9b7e9,380,2023-05-05 06:08:59.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,382
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x99a255c37915c42d90d60cf0bf88b6bdf40259a3280da1300818ac80b9c9b7e9,377,2023-05-05 06:08:59.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,375
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x99a255c37915c42d90d60cf0bf88b6bdf40259a3280da1300818ac80b9c9b7e9,374,2023-05-05 06:08:59.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,267
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x99a255c37915c42d90d60cf0bf88b6bdf40259a3280da1300818ac80b9c9b7e9,371,2023-05-05 06:08:59.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,206
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x24ca118e2af18626396790dc0afb82e9c0824bf5ce90317158425efd9dafe3a7,163,2023-05-05 07:46:59.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,866
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x0ac07e242fb80088763142de1593ee5889ccc6ab3eec6428ef709496ff9c8419,322,2023-05-05 09:41:47.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,932
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x0ac07e242fb80088763142de1593ee5889ccc6ab3eec6428ef709496ff9c8419,319,2023-05-05 09:41:47.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,931
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x10c98ad10af0ae76c28ec24162c538790123d4845857f303d6c98ec257d4ac43,410,2023-05-05 10:49:47.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,966
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x0e36249637c8f3f7943bae80c1139270488a56a6ac3f795f8d442de2ba09586a,245,2023-05-05 16:13:59.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,651
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x0e36249637c8f3f7943bae80c1139270488a56a6ac3f795f8d442de2ba09586a,242,2023-05-05 16:13:59.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,244
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x0e36249637c8f3f7943bae80c1139270488a56a6ac3f795f8d442de2ba09586a,239,2023-05-05 16:13:59.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,212
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x0e36249637c8f3f7943bae80c1139270488a56a6ac3f795f8d442de2ba09586a,236,2023-05-05 16:13:59.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,207
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x92bb9848f99bd7b2ab2f3893d4de745ad0fe99c5381ca0d5444f62ce66fde30b,304,2023-05-05 17:17:11.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,609
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xcdec5bf4be3284ec005b3de2fb9b1d4c4d1233452e22e2bddf3ee52d7a06903d,264,2023-05-05 19:17:35.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,698
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x40400a0c9ff0ae453136b18be8826bb14e459235a67335ca67aaf95e6328a4eb,608,2023-05-06 02:48:23.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,917
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x40400a0c9ff0ae453136b18be8826bb14e459235a67335ca67aaf95e6328a4eb,605,2023-05-06 02:48:23.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,940
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x40400a0c9ff0ae453136b18be8826bb14e459235a67335ca67aaf95e6328a4eb,602,2023-05-06 02:48:23.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,937
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x0b3a3acec7b0212561b38f490613b4e206554a0ec4a566ded65b852ac8b88732,280,2023-05-06 09:46:23.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,946
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x0b3a3acec7b0212561b38f490613b4e206554a0ec4a566ded65b852ac8b88732,277,2023-05-06 09:46:23.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,944
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x0b3a3acec7b0212561b38f490613b4e206554a0ec4a566ded65b852ac8b88732,274,2023-05-06 09:46:23.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,942
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x0b3a3acec7b0212561b38f490613b4e206554a0ec4a566ded65b852ac8b88732,271,2023-05-06 09:46:23.000 UTC,1.72E+07,0x5af0d9827e0c53e4799bb226655a1de152a425a5,954
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x8ec2ed377c6e75fc5748e28c52e2c411ae8662a061e1e914b4d1618e355656f4,108,2023-05-04 14:35:47.000 UTC,1.72E+07,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,627
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x80e2f0f8f863443b73d2b2a2ad4dc80263c56d3bd2f645a9b3c1ec64001a19c0,183,2023-05-04 19:02:47.000 UTC,1.72E+07,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,752
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x3d86de0d094227cadc48f1e332e4402564421d3e906b099920899f5e446fbf6e,243,2023-05-05 03:18:59.000 UTC,1.72E+07,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,781
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xa04a2782858a7f716411d19e044363b2eb5f7e97ee69195a6419fd2b11c4bfc0,354,2023-05-05 10:46:35.000 UTC,1.72E+07,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,923
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xa04a2782858a7f716411d19e044363b2eb5f7e97ee69195a6419fd2b11c4bfc0,352,2023-05-05 10:46:35.000 UTC,1.72E+07,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,922
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xa04a2782858a7f716411d19e044363b2eb5f7e97ee69195a6419fd2b11c4bfc0,350,2023-05-05 10:46:35.000 UTC,1.72E+07,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,910
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x4c5da08aedbcf123bc40241b574b706d7685b291681626a1ac1cd4498944e050,129,2023-05-06 10:14:47.000 UTC,1.72E+07,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,828
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x41494edfab4bcb0e1f5414f5e47e38eaf135e9d0b3d5e15a4e8048de87e5d67b,242,2023-05-06 14:26:47.000 UTC,1.72E+07,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,875
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xfb355b08d6c70d2acd75f21e6790627942e4b0674666f569013d8e7a346551d4,380,2023-05-06 14:35:23.000 UTC,1.72E+07,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,904
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xcc626ffcde4dde392c3eeef3a941d37fdc3d2b939253c6be1b39856289222514,218,2023-05-07 00:23:59.000 UTC,1.72E+07,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,1096
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xcc626ffcde4dde392c3eeef3a941d37fdc3d2b939253c6be1b39856289222514,216,2023-05-07 00:23:59.000 UTC,1.72E+07,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,990
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x699b30c0a51dec49c9aef1449e2a760d292d105aad0e1e24d7fce82f59393646,284,2023-05-07 02:09:11.000 UTC,1.72E+07,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,1181
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x121046e2e576a785f5a2eef309fbccbebba280ac58e56c1f430e5c77aa8f544a,244,2023-05-07 07:47:59.000 UTC,1.72E+07,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,1359
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xb63c3701e3b7b57fbf57ceb15cf766bfc0a9a3e28787d6aa281116f6783ee423,366,2023-05-08 02:22:35.000 UTC,1.72E+07,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,1398
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xb63c3701e3b7b57fbf57ceb15cf766bfc0a9a3e28787d6aa281116f6783ee423,364,2023-05-08 02:22:35.000 UTC,1.72E+07,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,1097
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x2156940e2362c50caa8730f173cdb8560af7580ece781f1684a87f7be11a32be,178,2023-05-08 15:08:23.000 UTC,1.72E+07,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,460
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xc9a045ff2e218e6006db09cbe8475348ac0ccc64607f317bb443c2ce5ab355b2,115,2023-05-08 15:08:59.000 UTC,1.72E+07,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,600
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x32e888ba7d1ded7474e3dcf80f0bda10e5e4e9a01fc77ab30b5039ce21a000a9,176,2023-05-08 18:48:47.000 UTC,1.72E+07,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,1391
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x1f1549886d0ffafa763482b5a8a5183a6a12777d189ac031f9c94be97de0b5e6,368,2023-05-04 14:24:23.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,650
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xeb555e78be1a49fff579ffac08ca42ed7db2f4d1ae908c2161a5adccd5e306e2,225,2023-05-04 14:25:35.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,814
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x3a8b4a3fd91f2d55a4a6cb3485a29eae566d5351892657a94b56514d1bc377e5,378,2023-05-04 14:34:59.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,587
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x08c56bbc571ee26dfc06f0c987a0ded4505189df6345add72c937e43401bcbca,100,2023-05-04 15:44:47.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,671
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xb22ff780db43442584dbe8f0fb011cf54ce064ca4e63841dedeabaae4e3b8f8a,193,2023-05-04 16:08:35.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,906
0x29469395eaf6f95920e59f858042f0e28d98a20b,0xeb78c4e24035f40b7ca8b031def84dfff32a6c75b0c2d6b581766ce28a1d1611,266,2023-05-04 16:08:23.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,849
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x74de078ec7df4037ff034ec105748cf4834a03bb0e3028b6848b8804fa7ad7f2,283,2023-05-04 19:53:35.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,379
0x29469395eaf6f95920e59f858042f0e28d98a20b,0x4787de416890cb9df6600df7ecca05560c9c54ce3fefd6adec615886035b27ce,236,2023-05-04 20:31:11.000 UTC,1.72E+07,0xed5af388653567af2f388e6224dc7c4b3241c544,760
